m/n,solutions,,,
0.5625,0,,,
0.5625,0,,,
0.5625,0,,,
0.56640625,0,,,
0.56640625,0,,,
0.56640625,0,,,
0.56640625,0,,,
0.56640625,0,,,
0.56640625,0,,,
0.56640625,0,,,
0.56640625,0,,,
0.56640625,0,,,
0.56640625,0,,,
0.56640625,0,,,
0.56640625,0,,,
0.56640625,0,,,
0.56640625,0,,,
0.56640625,0,,,
0.5703125,0,,,
0.5703125,0,,,
0.5703125,0,,,
0.5703125,0,,,
0.5703125,0,,,
0.57421875,0,,,
0.57421875,0,,,
0.57421875,0,,,
0.57421875,0,,,
0.57421875,0,,,
0.58203125,0,,,
0.58203125,0,,,
0.58203125,0,,,
0.58203125,0,,,
0.58203125,0,,,
0.58984375,0,,,
0.58984375,0,,,
0.58984375,0,,,
0.58984375,0,,,
0.58984375,0,,,
0.5859375,0,,,
0.5859375,0,,,
0.5859375,0,,,
0.5859375,0,,,
0.5859375,0,,,
0.59765625,0,,,
0.59765625,0,,,
0.59765625,0,,,
0.59765625,0,,,
0.59765625,0,,,
0.59375,0,,,
0.59375,0,,,
0.59375,0,,,
0.59375,0,,,
0.59375,0,,,
0.61328125,0,,,
0.61328125,0,,,
0.61328125,0,,,
0.61328125,0,,,
0.61328125,0,,,
0.61328125,0,,,
0.61328125,0,,,
0.61328125,0,,,
0.61328125,0,,,
0.61328125,0,,,
0.6171875,0,,,
0.6171875,0,,,
0.6171875,0,,,
0.6171875,0,,,
0.6171875,0,,,
0.61328125,0,,,
0.61328125,0,,,
0.61328125,0,,,
0.61328125,0,,,
0.61328125,0,,,
0.62890625,0,,,
0.62890625,0,,,
0.62890625,0,,,
0.62890625,0,,,
0.62890625,0,,,
0.6328125,0,,,
0.6328125,0,,,
0.6328125,0,,,
0.6328125,0,,,
0.6328125,0,,,
0.6328125,0,,,
0.6328125,0,,,
0.6328125,0,,,
0.6328125,0,,,
0.6328125,0,,,
0.62890625,0,,,
0.62890625,0,,,
0.62890625,0,,,
0.62890625,0,,,
0.62890625,0,,,
0.62890625,0,,,
0.62890625,0,,,
0.62890625,0,,,
0.62890625,0,,,
0.62890625,0,,,
0.640625,0,,,
0.640625,0,,,
0.640625,0,,,
0.640625,0,,,
